year	month	day	symbol	nav	kinni	enne55_jatkab	katkestab_3ei	katkestab_3jah	parast55_jatkab_3ei	parast55_jatkab_3jah
2004	8	30	SWK25	0.72156	1.5	0.06	0.06	0.06	0.06	0.06
2004	8	31	SWK25	0.72156	1.5	0.06	0.06	0.06	0.06	0.06
2004	9	1	SWK25	0.7222	1.5	0.06	0.06	0.06	0.06	0.06
2004	9	2	SWK25	0.72284	1.5	0.06	0.06	0.06	0.06	0.06
2004	9	3	SWK25	0.72156	1.5	0.06	0.06	0.06	0.06	0.06
2004	9	4	SWK25	0.72284	1.5	0.06	0.06	0.06	0.06	0.06
2004	9	5	SWK25	0.72284	1.5	0.06	0.06	0.06	0.06	0.06
2004	9	6	SWK25	0.7222	1.5	0.06	0.06	0.06	0.06	0.06
2004	9	7	SWK25	0.72284	1.5	0.06	0.06	0.06	0.06	0.06
2004	9	8	SWK25	0.72156	1.5	0.06	0.06	0.06	0.06	0.06
2004	9	9	SWK25	0.72284	1.5	0.06	0.06	0.06	0.06	0.06
2004	9	10	SWK25	0.72348	1.5	0.06	0.06	0.06	0.06	0.06
2004	9	11	SWK25	0.72284	1.5	0.06	0.06	0.06	0.06	0.06
2004	9	12	SWK25	0.72284	1.5	0.06	0.06	0.06	0.06	0.06
2004	9	13	SWK25	0.72412	1.5	0.06	0.06	0.06	0.06	0.06
2004	9	14	SWK25	0.7254	1.5	0.06	0.06	0.06	0.06	0.06
2004	9	15	SWK25	0.7254	1.5	0.06	0.06	0.06	0.06	0.06
2004	9	16	SWK25	0.72604	1.5	0.06	0.06	0.06	0.06	0.06
2004	9	17	SWK25	0.72732	1.5	0.06	0.06	0.06	0.06	0.06
2004	9	18	SWK25	0.72604	1.5	0.06	0.06	0.06	0.06	0.06
2004	9	19	SWK25	0.72604	1.5	0.06	0.06	0.06	0.06	0.06
2004	9	20	SWK25	0.72732	1.5	0.06	0.06	0.06	0.06	0.06
2004	9	21	SWK25	0.72668	1.5	0.06	0.06	0.06	0.06	0.06
2004	9	22	SWK25	0.72668	1.5	0.06	0.06	0.06	0.06	0.06
2004	9	23	SWK25	0.72668	1.5	0.06	0.06	0.06	0.06	0.06
2004	9	24	SWK25	0.72668	1.5	0.06	0.06	0.06	0.06	0.06
2004	9	25	SWK25	0.72668	1.5	0.06	0.06	0.06	0.06	0.06
2004	9	26	SWK25	0.72668	1.5	0.06	0.06	0.06	0.06	0.06
2004	9	27	SWK25	0.72668	1.5	0.06	0.06	0.06	0.06	0.06
2004	9	28	SWK25	0.72668	1.5	0.06	0.06	0.06	0.06	0.06
2004	9	29	SWK25	0.72668	1.5	0.06	0.06	0.06	0.06	0.06
2004	9	30	SWK25	0.72668	1.5	0.06	0.06	0.06	0.06	0.06
